Ensembl,Weight,Symbol
ENSG00000187608,-0.020845518,ENSG00000187608
ENSG00000162576,0.015209295,ENSG00000162576
ENSG00000189409,-0.006466821,ENSG00000189409
ENSG00000142611,0.0017247949,ENSG00000142611
ENSG00000130762,0.002774183,ENSG00000130762
ENSG00000162591,-0.047366846,ENSG00000162591
ENSG00000196581,-0.011374973,ENSG00000196581
ENSG00000215788,-0.07184396,ENSG00000215788
ENSG00000049247,0.052807674,ENSG00000049247
ENSG00000049249,-0.015582686,ENSG00000049249
ENSG00000142583,0.002170265,ENSG00000142583
ENSG00000178585,0.004700265,ENSG00000178585
ENSG00000130940,0.02704618,ENSG00000130940
ENSG00000162490,0.03996411,ENSG00000162490
ENSG00000177674,0.023150695,ENSG00000177674
ENSG00000175206,0.00024903315,ENSG00000175206
ENSG00000028137,-0.06320178,ENSG00000028137
ENSG00000162494,0.009799092,ENSG00000162494
ENSG00000142621,-0.00598881,ENSG00000142621
ENSG00000142634,0.015793912,ENSG00000142634
ENSG00000158747,0.0077856956,ENSG00000158747
ENSG00000188257,-0.0019113906,ENSG00000188257
ENSG00000117215,-0.00513587,ENSG00000117215
ENSG00000158816,0.0072009256,ENSG00000158816
ENSG00000162552,0.0005850842,ENSG00000162552
ENSG00000004487,-0.004475642,ENSG00000004487
ENSG00000125945,0.012974038,ENSG00000125945
ENSG00000204219,0.011649666,ENSG00000204219
ENSG00000117318,-0.035462737,ENSG00000117318
ENSG00000188822,-0.0392819,ENSG00000188822
ENSG00000001461,-0.012202003,ENSG00000001461
ENSG00000117602,0.063022316,ENSG00000117602
ENSG00000184454,-0.008738596,ENSG00000184454
ENSG00000117643,-0.010685782,ENSG00000117643
ENSG00000162430,-0.00758447,ENSG00000162430
ENSG00000117640,0.004157381,ENSG00000117640
ENSG00000188782,-0.0073052207,ENSG00000188782
ENSG00000158062,-0.019431097,ENSG00000158062
ENSG00000176083,0.10214435,ENSG00000176083
ENSG00000000938,-0.0136680575,ENSG00000000938
ENSG00000126709,0.021940328,ENSG00000126709
ENSG00000130775,0.033167493,ENSG00000130775
ENSG00000130772,-0.034987915,ENSG00000130772
ENSG00000134668,0.004550684,ENSG00000134668
ENSG00000175130,0.018422946,ENSG00000175130
ENSG00000162522,0.0006099994,ENSG00000162522
ENSG00000116497,0.004248921,ENSG00000116497
ENSG00000187513,0.0064650015,ENSG00000187513
ENSG00000116922,0.013289551,ENSG00000116922
ENSG00000116983,0.02799304,ENSG00000116983
ENSG00000179862,0.04285514,ENSG00000179862
ENSG00000127124,0.03843046,ENSG00000127124
ENSG00000177868,0.013511986,ENSG00000177868
ENSG00000243710,0.009011027,ENSG00000243710
ENSG00000179178,-0.004408518,ENSG00000179178
ENSG00000117400,0.008247094,ENSG00000117400
ENSG00000126088,0.008324182,ENSG00000126088
ENSG00000117472,-0.00037404808,ENSG00000117472
ENSG00000085998,0.0033154213,ENSG00000085998
ENSG00000134717,0.043738987,ENSG00000134717
ENSG00000157077,0.012886051,ENSG00000157077
ENSG00000157184,-0.0040244926,ENSG00000157184
ENSG00000157193,0.014204701,ENSG00000157193
ENSG00000215883,0.0049994397,ENSG00000215883
ENSG00000162398,0.01801958,ENSG00000162398
ENSG00000162407,0.0014660012,ENSG00000162407
ENSG00000021852,0.0033579804,ENSG00000021852
ENSG00000177606,0.018726135,ENSG00000177606
ENSG00000132849,0.01212779,ENSG00000132849
ENSG00000132854,0.0054859533,ENSG00000132854
ENSG00000185483,0.004177242,ENSG00000185483
ENSG00000162594,0.014190215,ENSG00000162594
ENSG00000081985,-0.03815516,ENSG00000081985
ENSG00000033122,-0.015441533,ENSG00000033122
ENSG00000178965,0.00059361727,ENSG00000178965
ENSG00000117069,-0.0027991373,ENSG00000117069
ENSG00000154027,0.020112135,ENSG00000154027
ENSG00000137959,0.0393389,ENSG00000137959
ENSG00000137965,0.023465374,ENSG00000137965
ENSG00000153898,0.034426153,ENSG00000153898
ENSG00000153904,0.0076768813,ENSG00000153904
ENSG00000171502,0.003815519,ENSG00000171502
ENSG00000016602,-0.006152578,ENSG00000016602
ENSG00000117228,0.00430678,ENSG00000117228
ENSG00000154451,-0.027200056,ENSG00000154451
ENSG00000069702,0.037581008,ENSG00000069702
ENSG00000189195,0.009992087,ENSG00000189195
ENSG00000122483,-0.005710512,ENSG00000122483
ENSG00000117600,0.005835376,ENSG00000117600
ENSG00000079335,0.07693581,ENSG00000079335
ENSG00000162692,0.019379536,ENSG00000162692
ENSG00000117543,0.020991119,ENSG00000117543
ENSG00000121940,0.013388594,ENSG00000121940
ENSG00000181754,0.016833065,ENSG00000181754
ENSG00000156097,0.010254544,ENSG00000156097
ENSG00000134202,0.03155445,ENSG00000134202
